id,question,answer
15,使用牙线有什么技巧,使用牙线时，要轻柔地将其缠绕在手指上，然后轻轻压入牙缝中，上下左右拉动以清除牙缝中的食物残渣和牙菌斑。注意不要用力过猛，以免损伤牙龈。
16,如何清洁舌苔,清洁舌苔可以使用专门的舌苔刷或刮舌器，轻轻刮除舌面上的白色物质。清洁舌苔有助于减少口腔细菌，预防口臭和口腔疾病。
17,如何预防口腔溃疡,预防口腔溃疡的方法包括保持充足的睡眠、避免过度劳累、均衡饮食、多吃富含维生素的食物等。此外，还要保持口腔卫生，定期清洁牙齿和口腔。
18,口腔溃疡如何治疗,口腔溃疡的治疗方法包括局部用药（如西瓜霜含片、西地碘含片等）和全身用药（如维生素B、维生素C等）。同时，要保持口腔卫生，避免刺激性食物和饮料.
19,如何预防牙周病,预防牙周病的方法包括定期进行口腔检查和洁牙、控制牙菌斑和牙龈炎、避免吸烟等。此外，还要保持口腔卫生，使用正确的刷牙方法和牙线技巧。
20,戴牙套期间如何清洁牙齿,戴牙套期间，由于牙套会覆盖部分牙齿表面，增加了清洁难度。因此，需要使用专业的正畸牙刷和牙线，仔细清洁牙齿表面和牙套之间的缝隙。同时，要定期到口腔医院进行洁牙和复查。
21,拔牙后如何护理口腔,拔牙后，要遵循医生的指导进行口腔护理。包括避免用患侧咀嚼食物、不要频繁舔或吸吮拔牙创口、保持口腔卫生等。同时，要按时服用抗生素和止痛药，预防感染和减轻疼痛。
22,种植牙后如何维护,种植牙后，要定期进行口腔检查和洁牙，保持口腔卫生。同时，要避免用患侧咀嚼过硬的食物，以免损伤种植体和牙冠。如有异常情况，应及时就医处理。
23,口腔健康与全身健康有什么关系,口腔健康与全身健康密切相关。口腔问题如龋齿、牙周病等不仅影响口腔健康，还可能引发全身疾病，如心血管疾病、糖尿病等。因此，保持口腔健康对于维护整体健康至关重要。
24,如何保持口腔健康,保持口腔健康的方法包括定期进行口腔检查和洁牙、使用正确的刷牙方法和牙线技巧、控制糖分摄入、避免吸烟等。同时，还要注意饮食均衡、保持良好的作息习惯等。
25,刷牙,这是保持口腔卫生清洁与健康的有效而简便的措施，一天早晚两次刷牙，每次刷够3分钟。孩子的刷牙习惯受父母影响巨大，在这方面父母一定要起榜样作用。
26,小孩应该从多大开始刷牙？,第一颗牙齿萌出后，用细毛小牙刷帮助刷牙。一般说来，幼儿从3岁就应该开始学习刷牙，一天早晚两次刷牙，每次刷够3分钟。专家提醒，孩子的刷牙习惯受父母影响巨大，在这方面父母一定要起榜样作用。
27,小孩的牙缝大，该不该剔牙,"需要把牙缝里的食物残留清除掉。如果是龋齿牙洞造成的牙缝，就应该补牙了。正确的剔牙方法，主要是说牙签、牙线。牙签是用来剔除嵌塞在牙间隙内的食物碎屑的小工具，是一种洁齿方式。牙签有多种类型，以木制牙签使用最为普遍。其横断面应呈扁圆形或三角楔形，尖滑无毛刺，质硬而不易折断以减少剔牙时的损伤。
使用牙签时注意（1）应将牙签头朝着牙齿的颌面方向，抵在牙齿的颊面上，以45度角滑行到牙缝内，顺着牙缝剔，上牙向下外侧剔，下牙向上外侧剔，如遇纤维食物嵌塞亦可作颊舌侧穿刺动作来剔除。（2）使用牙签时压力不可过大，以免造成牙龈损伤。牙签尖端不可垂直插入牙间隙内，以免刺伤软组织，引起局部感染。时间久了，还会造成牙间龈组织的萎缩，牙间隙增大而加重食物嵌塞。
牙签对成人污物去除率约50%左右，不如使用牙线好。"
28,什么是窝沟封闭,"大牙咬东西的表面是不平滑的，有很多凹进去的沟沟，称为窝沟。牙齿的窝沟形状不同，深浅不一，是细菌生长繁殖的适宜场所。孩子新长出来的恒牙没有被磨耗过，表面窝沟更深。口腔中的致病菌和食物残渣陷入窝沟中，就算刷牙也难以完全被清除。细菌深藏在窝沟里生长，并在代谢过程中产生酸性物质，腐蚀牙齿，形成龋洞，再加上小孩子很难有效清洁口腔，因此儿童的龋齿发生率很高。
窝沟封闭就是在牙齿窝沟上涂布一层黏结性、流动性很好的树脂渗进窝沟并封闭窝沟，形成一层“防护墙”，就能使窝沟与口腔环境隔绝，阻止细菌、食物残渣以及其酸性产物等进入窝沟，大大降低龋齿的机会，这种方法就是窝沟封闭。同时因封闭剂含氟，可达到双重防龋的作用。
窝沟封闭对于乳磨牙及恒磨牙窝沟龋的预防效果非常好，是目前为止最有效、最经济的方法。国内外大量学者研究表明窝沟封闭能降低50%以上的龋病发生。国外曾经有一个20年的临床研究，结果发现做过窝沟封闭的组与没做过窝沟封闭的组对比，一年之内患龋率降低83％，五年之内患龋率降低58％。"
29,什么时候进行窝沟封闭最好呢,"6岁左右儿童，第一恒磨牙（六龄齿）萌出，它是口腔中萌出最早的恒牙，也是发挥咀嚼功能、影响牙齿排列、影响颌面部发育的极其重要的四颗牙齿（上、下、左、右各1颗），必须做窝沟封闭加以重点保护。
11～13岁的儿童，双尖牙、第二恒磨牙刚刚萌出，做窝沟封闭效果最好。
如果有条件，3～4岁儿童，封闭乳磨牙。乳磨牙3岁左右萌出，11～12岁左右才替换，在口腔中停留时间长，有着重要的作用，应该做窝沟封闭。
窝沟封闭的过程无痛、无创伤，前后只需要十几分钟。"
30,儿童换牙之前，蛀齿要不要处理，会不会影响恒牙？,"很多孩子牙齿龋坏之后没有马上去补牙，造成很多严重后患。向学生及其家长宣传龋齿早充填的重要性：简单、经济、大多数一次充填就完成。但龋齿发展到牙髓炎（有痛）后治疗就复杂化了，治疗时间、费用都多几倍。
蛀齿是必须要清理的。
乳牙严重龋坏和过早缺失，会影响咀嚼功能和营养吸收；颌骨没有得到生理性刺激而发育不良，造成以后恒牙拥挤。乳龋早脱不仅刺激恒牙早萌，导致牙列错位；而且牙的矿化基础薄弱，是导致今后恒龋高发，恒龋牙早失的重要原因。"
31,乳牙长得不整齐会影响恒牙的整齐吗,我们要注意小孩子的一些不良生活习惯。比如喜欢添嘴唇、咬铅笔、咬手指、张嘴呼吸睡觉等等。这些习惯会导致乳牙和恒牙不整齐。
32,换牙的时候，能不能去舔,不建议去舔，因为舌头的力量难于控制，会让牙齿长得更加没有规律。
33,定期检查,大部分学生和家长往往在出现牙痛的时候才到医院治疗，造成治疗复杂化。因为龋齿早期没有任何症状，容易忽视，所以定期检查、早发现十分重要。我们提出中小学生至少一年做一次口腔检查，早发现才能早治疗。
34,使用什么样的牙刷好,应当选购直三排、横六束、刷头小、刷毛柔软、刷毛末端磨圆的保健牙刷，在口内运作 自如，牙齿的死角较容易刷到。牙刷使用期限以 2~3 个月换一次为佳。
35,掌握正确的刷牙方法,首先刷牙的力度不能太大， 有些人以暴力式的方法刷牙，引起口腔牙龈的萎缩、齿颈 部磨损，对冷热产生酸痛的现象。刷牙主要是刷干净牙齿的几个面。刷外面：将牙刷刷头放 在牙齿与牙龈边缘呈 45 度角，轻柔地来回刷，然后将牙刷顺着牙缝刷，上牙从上往下刷， 下牙从下往上刷;刷里面：用上述同样方法刷每颗牙齿的里面;刷咬合面：将牙刷平放，来回 刷咀嚼食物的牙齿面(咬合面)，最好也刷刷舌面。
36,刷牙的次数应以几次为好,其实刷牙的次数只能增加，而不能减少，三餐后及睡前共四次，最好于每次进食后即刷 牙，漱口不能代替刷牙，不能清除菌斑。
37,使用什么样的牙膏好,牙膏里都含有一种摩擦剂，摩擦剂颗粒小，质量相对来说就好，市场上销售的牙膏质量 与其价位成平行关系，应选用含氟牙膏，但不可长期使用一种品牌的牙膏。
38,要学会用牙线和牙缝刷,牙线一般分为含蜡和不含蜡两种，牙线和牙缝刷在饭后使用，应在牙医的指导下正确操 作，牙缝刷适用于齿缝大的人，牙线的选购以柔软有弹性为好。
39,关于漱口药水,漱口药水对于牙龈红肿、出血较有用处，但对牙石、牙周骨破损、牙石的患者则没有什 么作用，我们的建议是不要长期使用漱口药水。
40,什么是世界卫生组织对口腔健康的定义,世界卫生组织对口腔健康的定义是“牙齿清洁、无龋洞、无痛感，牙龈颜色正常、无出血现象。
41,口腔在人体中有什么重要作用,口腔是人体的重要组成部分，是消化道和呼吸道的起端，具有咀嚼、吞咽、言语、感觉和维持颌面部形态等功能。
42,口腔健康与全身健康有何关系？,口腔健康是全身健康的基础，口腔疾病与全身疾病可相互影响。例如，牙周病可能诱发或加重心脑血管疾病、糖尿病等全身性疾病。
43,我国中老年人的牙周健康率是多少？5岁儿童乳牙龋病的患病率是多少？,我国中老年人牙周健康率不足15%，5岁儿童乳牙龋病的患病率为66%。
44,牙菌斑是什么？它是如何影响口腔健康的,牙菌斑是粘附在牙齿表面的细菌膜，是龋病和牙周病的致病因素。如果牙菌斑没有被及时清除，就会钙化形成牙石，增加牙周病发生的风险。
45,龋病早期有哪些症状？如果不及时治疗会有什么后果,龋病早期没有自觉症状，只有通过定期检查才能发现。如不及时治疗，龋病会发展为疼痛、牙根发炎、肿胀，治疗复杂且费用高，甚至导致牙齿丧失。
46,牙周病包括哪些类型？其主要症状是什么？,牙周病包括牙龈炎和牙周炎。牙龈炎主要表现为牙龈出血，可治愈但易反复。牙周炎则会出现牙龈红肿出血或退缩、牙齿松动、移位、口腔异味等症状。
47,如何有效预防龋病？,氟化物可有效预防龋病，应用方法包括使用含氟牙膏、含氟漱口液等。此外，窝沟封闭可有效预防窝沟龋。
48,如何预防和控制牙周病？,预防牙周病需要养成良好的口腔卫生习惯，如早晚刷牙、餐后漱口、使用牙线或牙间刷等。洁治（洗牙）是清除牙石最有效的方法，提倡每年至少一次。
49,缺失牙有哪些影响？应如何修复？,缺失牙会影响美观、发音和咀嚼功能。应及时进行义齿修复，修复方法有活动修复和固定修复（包括固定桥、种植义齿）等。
50,吸烟对口腔健康有哪些危害,吸烟是牙周病的主要危险因素之一，吸烟者患牙周病的概率较不吸烟者高。此外，吸烟还可能引起口腔癌。
51,为什么提倡每年至少进行一次口腔健康检查,定期进行口腔健康检查可以及时发现口腔疾病，早期治疗。这有助于避免疾病发展到中晚期，减少治疗难度和费用。
52,洁牙（洗牙）对口腔健康有什么好处,洁牙可以清除龈缘周围龈上和龈下部位沉积的牙石以及牙菌斑，是预防牙周疾病的有效措施。定期洁牙能够保持牙齿坚固和牙周健康。
53,如何选择和使用牙膏,应根据个人口腔健康需要选择牙膏。提倡使用含氟牙膏预防龋病。使用牙膏时，成人每次刷牙只需用大约1克（长度约1厘米）的膏体即可。
54,学龄儿童在口腔保健方面应注意什么？,学龄儿童应注意换牙期间的牙齿保护，积极防治牙齿外伤，使用窝沟封闭预防“六龄牙”的窝沟龋，注意防治青少年牙龈炎，并及时诊治牙齿排列不齐等问题。
55,口腔健康与饮食习惯有何关系,饮食习惯对口腔健康有着重要影响。高糖、高酸、黏性食物容易增加牙齿龋坏的风险，而均衡饮食、多摄入富含纤维的食物有助于保持口腔健康。
56,如何正确使用牙线或牙间刷,使用牙线时，应将其绕在手指上，轻轻滑入牙缝中，上下移动以清除牙菌斑。牙间刷则适用于牙缝较大的情况，使用时将刷头插入牙缝，轻轻旋转以清洁牙齿邻面。
57,孕妇在口腔保健方面有哪些特殊注意事项,孕妇在口腔保健方面应特别注意保持口腔卫生，定期进行口腔检查，避免在孕期进行复杂的口腔治疗。同时，孕妇应谨慎使用口腔药物，以免对胎儿造成不良影响。
58,儿童何时开始刷牙最合适,儿童应在长出第一颗牙齿时就开始进行口腔清洁，可以使用软毛牙刷或纱布蘸温水轻轻擦拭牙齿和牙龈。随着孩子年龄的增长，逐渐教会他们正确的刷牙方法和时间。
59,口腔异味（口臭）可能由哪些原因引起,口腔异味可能由多种原因引起，包括口腔卫生不良、龋齿、牙周病、口腔干燥症、鼻窦炎、消化不良等。如果持续存在口臭问题，应及时就医检查。
60,矫正牙齿对口腔健康有何益处,矫正牙齿不仅可以改善美观，还可以改善咀嚼功能，降低牙齿磨损和牙周病的风险。同时，整齐的牙齿更易于清洁，有助于维护口腔健康。
61,口腔癌有哪些早期症状,口腔癌的早期症状可能包括口腔溃疡长时间不愈、口腔黏膜颜色改变、口腔内出现肿块或结节、口腔疼痛或麻木等。如果出现这些症状，应及时就医检查。
62,如何选择合适的牙刷,选择合适的牙刷应根据个人口腔情况而定。一般来说，软毛牙刷更适合大多数人，因为它们对牙齿和牙龈的伤害较小。同时，牙刷的刷头应适中，以便于清洁口腔的各个角落。
63,电动牙刷与普通牙刷相比有哪些优势,电动牙刷通常具有更高的清洁效率，能够更深入地清洁牙缝和牙龈线。此外，电动牙刷的振动频率和力度相对均匀，有助于减少刷牙时对牙齿和牙龈的损伤。
64,口腔健康教育的意义是什么,口腔健康教育对于提高公众对口腔健康的认识、促进口腔健康行为的形成、降低口腔疾病的发生率具有重要意义。通过教育，人们可以更加了解如何保护自己的牙齿和牙龈，从而享受更健康的生活。
65,拔牙后为什么要及时镶牙?,"答:牙齿彼此相连形成了牙弓,牙弓对牙齿的稳定具有重要作用,就如同几个人紧紧地挤在一条长凳上坐成一排,作在中间的人由于周围的人紧紧地靠着而不能随意左右倾斜或移动,但当其中一个人走了以后,他旁边的人就会往他留下的空位移动.牙齿也同样如此,牙弓中的一个牙齿被拔除后,位于拔除牙齿间隙两侧的牙齿就会向缺隙侧倾斜移动,牙齿一旦倾斜移动,便会出现异常的咬合,久而久之会损伤缺隙周围牙齿的牙周组织的健康,甚至影响到颞下颌关节,导致颞下颌关节紊乱综合症,缺牙后还会导致咀嚼功能下降,面容塌陷,消化不良,甚至发音不准,有人将上述因缺牙所引起的改变统称为失牙综合症.因此一般来说拔牙后应及时镶上假牙,但是第三磨牙(尽头牙)拔除后不用修复,因为它位于牙弓的最末端,咀嚼功能小,而且常常会错位,阻生甚至先天缺失.
"
66,什么时候是镶牙的最佳时期?,"答:拔牙后在牙龈上留有一个窝洞叫做牙槽窝,伤口愈合的时间,前牙为30-45天,后牙为60-90天,这是装假牙的最好时机,有时病人因工作上的急需,未等伤口完全愈合就装了假牙,甚至在拔牙后就立刻装了假牙,这种情况在假牙戴几个月后,需到医院进行检查和处理,假如是做固定假牙,更要等伤口完全愈合后才能安装假牙,因为固定假牙装好了后,不易取下修复或重做.要知道伤口是否愈合,不一定去请医生检查,病人自己用手指扪压拔牙的部位能查出牙龈是否长平、有无尖锐的骨突，如有尖锐的骨突，扪按则有明显压痛，应到医院做齿槽骨修整的手术，然后再等一段时间才能镶牙。
"
67,哪种镶牙方法最好,"答:镶牙有活动牙和固定牙两种.活动假牙戴在口中并不是活动的,但它可以由
病人自行戴取,所以叫可摘局部义齿,其优点是:磨牙组织少,适用范围广,无论什么样的缺牙都可采用活动假牙来修复.它的缺点是,体积稍大,初戴时会有不适感,咀嚼功能稍差.而固定假牙与活动假牙相反,病人是不能自行摘戴的,优点
是:戴牙舒适,咀嚼功能恢复较好,美观,耐用,不用象活动牙那样经常摘戴清洗.缺点是:磨除的牙体组织较多.
"
68,牙龈出血的原因有哪些?有什么样的解决方法?,"答:牙龈出血最多的原因是牙龈炎症，有的小孩早晨起床时嘴角有血迹，枕头上有血性唾液，还会有特殊的口臭味，就属于坏死性龈炎出血，口腔卫生差，牙齿上有许多污物刺激牙龈，使牙龈组织充血肿胀，稍碰到硬东西甚至吃冷馒头，都会引起牙龈出血，医学上称为不洁性龈炎，若牙齿有龋洞，残烂牙根，也可能刺激牙龈发生炎症，引起出血，有牙周病的人，牙龈多半有炎症发生，也容易引起出血，对于牙龈出血量偏多或出血不止的，应警惕有血液病的可能， 如白血病，血小板减少、血友病、再障性贫血。这些都是比较严重性疾病，常常是面色苍白，而牙龈并不红肿，对此更不能简单的吃点维c就能解决问题，一定要请医生详细检查，做必要的血液化验才能确定牙龈出血的原因，针对不同的原因，采取相对应的治疗措施，把牙龈炎治好，牙龈出血也就停止了。牙结石是引起牙龈出血最常见的原因，洁牙是去除牙结石最有效的方法。
"
69,洗牙会损伤牙齿吗?多久洗一次牙合适?,"答：洗牙是口腔预防保健最基本的措施，过去是用金属器械刮除这些牙石，费时费力效果差，现在引进超声波洁牙设备，通过超声振动的方式，不损伤牙齿，洁治效果好，运用广泛，很容易彻底清除牙垢。牙垢清除后并非一劳永逸，它还会不断形成新的牙垢，除了正确刷牙，维持口腔清洁外，每三个月到半年时间去除一次牙垢，对于保持口腔健康很有必要。就好比洗澡搓背一样，是一种口腔卫生保健。
"
70,儿童牙齿受伤后该怎么办,一般前牙外伤者居多，①乳牙受伤后有可能由于移位或者牙髓坏死感染而影 响到继承恒牙的发育，因此要及时就诊；②年轻恒牙，一般是上颌中切牙，受伤 后易发生牙髓坏死，从而影响牙根的继续发育。③若牙齿脱位掉出口腔，则应将 牙齿保存于牛奶、生理盐水或者唾液中，及时到专科医院就诊，间隔时间越短， 受伤牙齿的预后越好。
71,唇系带过长多大做手术合适,"建议您在患儿 2 岁左右能说话时看看对发音是否有影响,如果无影响可以再 观察。随着患儿嘴唇的活动,有可能唇系带会逐渐拉长,就可在患儿稍大后,在门 诊做个小手术修复。如果对说话发音有影响,吃东西经常出血,那就要尽早手术。 手术的方法可以系带横切纵缝,也可以 V-Y 推进，看系带的情况而定。"
72,小孩的牙有缝，不齐怎么办,12 岁左右，口腔内乳牙将会被恒牙替换完，恒牙完全萌出后如果仍有缝隙 或是不齐，可以考虑正畸。
73,如果孩子不慎咬伤舌头该怎么办,①首先要区分是唇咬伤还是舌咬伤。若是舌部咬伤，由于舌部血液循环丰 富，如不及时处理，容易造成失血过多。伤口一旦受到感染，还会造成舌部甚至咽喉颈部肿胀，压迫呼吸道，引起呼吸困难。而唇咬伤往往可自行止血。②然后 是止血：含清洁的凉开水，但不能漱口，因为如果漱掉口内的血凝块反而使出血 更厉害。③迅速送到就近医院处理。④护理：经医生处理后家长应注意孩子伤口的护理，如出现缝线松脱或伤口红肿、化脓，甚至发烧，应及时去医院复诊，免出意外。
74,孩子说话总是说不清楚，是不是因为舌系带太短了？要做手术吗,孩子说话不清楚不一定是因为舌系带过短，有可能是因为学说话时咬字、 发音不准。舌系带过短有一定的特征：⑴伸舌受限；⑵伸舌时舌尖呈“W”型； ⑶舌系带粗、厚、短或薄、短。一般认为，较粗厚的舌系带要行矫正术应在 1-2 岁幼儿学说话时进行。在婴幼儿时期发现舌系带过短，且为薄膜型时，最好在 6 个月之前施行。但部分薄膜型舌系带过短可在发育过程中自行矫正，故家长如发 现孩子舌系带短，可先由专业人员判别是否需要手术治疗。 儿童口腔问题不仅 影响美观及发音，更重要的是通过降低牙齿的咀嚼能力影响孩子的消化能力及营 养吸收，妨碍孩子的生长发育。
75,儿童什么情况需照牙片,为了明确乳牙龋坏的深度及根尖部炎症的范围，以及替代恒牙的情况，还有 一些肉眼无法看清的隐匿龋，则需要 X 线进行来帮助诊断。我们时代口腔用的是 德国卡瓦三维 CT，能够清晰、全面、立体、准确的看到牙齿的各个部位，并且 辐射小，拍片当中不会有任何不适。
76,为什么刷牙总出血，该怎么办,牙面上存在有菌斑，牙石，软垢等不良刺激，若不及时去除，便会刺激牙龈， 引起牙龈炎，此时牙龈由正常的淡粉色变成深红色，外形肿胀，质地松软，刷牙时出血多，此外肥大性龈炎，各种牙周炎均有刷牙出血现象，可先行口腔龈上洁 治，即洁牙后观察，再进相应治疗。
77,洗牙损害牙齿吗,不会的，洁牙是靠洁牙机头高频率的震动将牙齿表面的污垢振松脱落，而不 是磨除，本身对牙齿没有切削功能，规范的操作是不会对牙齿产生伤害的。我们 时代口腔用的都是德国无痛洁牙机，不会对您的牙齿产生伤害的。
78,建议多长时间洗一次牙,一般情况下建议每半年做一次口腔检查，对于吸烟者，建议最好 3~6 个月洗 一次。定期洗牙，不仅清洁了牙齿，还可同时做一次口腔检查，便于及时发现问 题，及时治疗。
79,洗完牙后我的牙都松了，为什么,有时因为严重的牙周炎，大块的牙结石起到了固定牙齿的作用，清洗掉后反 而觉得牙齿松动了，但如果不治疗，牙齿最终将因晚期牙周炎而无法保留。
80,什么是喷沙洗牙?,"答：喷砂洗牙，是使用特制的喷砂牙粉 (以碳酸氢钠粉末为主要成分)，通过喷砂手机头喷向牙 面来去除牙菌斑和色素的。此法特适用于清理超声波洁牙机不易到达的牙间隙中的牙菌斑和色素斑，对牙面色素的清理效率也远高于超声波洁牙机。
喷砂洗牙最主要的功用是抛光牙面：在结束超声波洁牙或手工洁牙后，患者用舌尖一般都会感到牙面粗糙不平；喷砂洗牙后牙面粗糙不平的感觉就没有了。喷砂洗牙不光能抛光牙齿外面，而且可以抛光牙缝之间的牙面。抛光后的牙面不容易附着牙菌斑和色素。
"
81,什么是错合畸形?错合畸形的危害性有哪些?,"答：指儿童在生长发育过程中，由先天遗传因素、后天因素，所导致的牙齿颌骨以及颅面的畸形，如牙齿排列不齐，颌骨大小位置异常，上下牙之间的牙颌关系异常等。
错颌畸形的危害性：1、局部危害性：影响牙颌面的发育；影响口腔的健康；影响容貌外观；影响口腔功能。2、全身危害：如因咀嚼功能降低引发消化不良及胃肠疾病，以及颜面畸形，对患者造成严重的心理和精神障碍等。
"
82,什么年龄矫治牙齿最合适?,"答：不同的错颌畸形矫治的年龄不同：
(1)在乳牙期(3-5岁)和替牙期(6-11)一般的畸形如个别牙齿错位，不需要立即矫治，应继续观察和纠正口腔的不良习惯。在这个时期，牙正处于调整时期，通过不良习惯的纠正，错颌畸形常可以自行纠正，不适当的矫治反而会影响牙齿的正常发育。但以下严重妨碍牙齿生长发育的畸形，则需要进行初步矫治。
A.乳牙反颌：主要妨碍上颌骨的发育，影响面部外观，应当及
早治疗，如果能配合，3-5岁就可以矫治。
B.严重下颌后缩：在替牙期（6-12岁）就可以早期矫治，以阻碍其发展，为以后继续矫治减小难度。
C.恒切牙的更新扭转也可在替牙期矫正。
(2)大多数的错颌畸形要等到乳牙换完的恒牙期，大约11-15岁才进行矫治，主要由以下几方面原因决定：
A.恒牙牙根发育完成；
B上下牙齿之间的咬合关系也调整完成：
C.可以对畸形的类型作出明确的诊断，矫治后容易保持稳定的效果，在这个时期进行矫治效果好。
"
83,矫治牙齿需要多长时间?,"答：正畸矫治的疗程与错颌畸形的严重程度、患者对正畸治疗的组织学反应、以及患者的合作程度有关。通常儿童矫治的时间为1-2年，简单病历可能几个月完成，复杂的可能要2年多；成人矫治还要延长一年左右。总之，矫治疗程是相对漫长的，正畸治疗的成功一方面以正畸医生高超的技术为基础，一方面取于患者的信心、耐心、决心和恒心。
"
84,什么是烤瓷牙?有什么特点?,答:  烤瓷牙学名叫烤瓷熔附金属全冠，内有一层金属基底层（也叫金属帽状冠），再在其表面覆盖低熔瓷粉。由于瓷质的硬度高，具有良好的生物相容性，通过烤、铸的方法可以制成各种各样的形状，尤其可贵的是它的色泽接近牙色，并且可以根据患者的要求，选择上百种不同的颜色，几乎可以达到以假乱真的效果，其特点是抗折力强，外观逼真，色泽稳定，表面光滑、耐磨、抗冲击性强。瓷质制成的烤瓷和铸瓷修复体的出现，迅速替代以前金属和塑料等制作的修复体，成为最为流行的牙齿修复材料。
85,烤瓷牙的种类有哪些?不同类型的烤瓷牙有什么优缺点?,"答：1:普通烤瓷牙： 金属基底层是普通的镍铬合金，组织相容性相对较差；容易导致龈缘着色（就是在牙龈部位产生一条黑色的色素带，在前牙区会严重影响美观）；相对容易产生崩瓷（就是瓷质层与金属基底层因为外力的作用产生分离，暴露出内层金属的颜色）；有时候还会产生一些过敏。
2:边缘瓷： 因为普通烤瓷牙容易产生龈缘着色，所以在龈缘部位特意加上一层特殊的瓷质，相对减少龈缘着色的机会。
3:钛合金烤瓷牙： 金属基底层有一定含量的钛金属成分，组织相容性有较大的提高，龈缘着色以及崩瓷的几率也大大减少。
4:贵金属烤瓷牙： 金属基底层含有黄金或者白金成分的合金（因为黄金相对较软，如果是纯金作为基底层，容易与瓷质层分离，所以一般来说黄金成分在 85—95% 之间），贵金属烤瓷牙具良好的生物相容性，有效防止龈缘着色，过敏现象较少，色泽较一般烤瓷牙逼真，不容易产生崩瓷。是比较好的烤瓷牙修复体，不过目前价格相对较贵。
5:金沉积瓷牙： 基底层主要成分依然是黄金，但是加工工艺完全不同，精密度大大提高。与贵金属烤瓷牙一样，优点也十分明显，并且制作如果顺利，精密度大大提高。是比较理想的瓷牙。
6:铸瓷： 严格来说不能属于烤瓷牙的种类。因为铸瓷没有金属基底层，瓷质也不是一层一层地烤在金属基底层上面。它全层为瓷质结构。组织相容性极佳，基本不会有过敏现象，也不会发生牙龈龈缘着色现象。颜色、透光性都与真牙一样，能够产生最佳的美学效果。随着材料和技术的改进，目前正逐渐取代传统的金属烤瓷技术。同样，其价格也是比较贵的。
"
